country,origin_quarter,horizon_quarters,target_quarter,macro_feature_quarter,trade_graph_quarter,cpi_yoy_input,energy_cpi_yoy_input,target_cpi_yoy,split
AUT,2011Q2,1,2011Q3,2011Q1,2011Q1,3.0086120120791593,4.980447133475985,3.8206656547332463,train
BEL,2011Q2,1,2011Q3,2011Q1,2011Q1,3.4382691106784824,17.164289409504097,3.558242235575171,train
BGR,2011Q2,1,2011Q3,2011Q1,2011Q1,4.500594946454828,3.3988115514174133,3.111676523174234,train
CYP,2011Q2,1,2011Q3,2011Q1,2011Q1,3.1393978356369923,13.995659175243324,2.9259776536313176,train
CZE,2011Q2,1,2011Q3,2011Q1,2011Q1,1.9175108538350472,5.379984951091044,2.0452099031216253,train
DEU,2011Q2,1,2011Q3,2011Q1,2011Q1,2.208544532947143,9.115488605639266,2.622126436781591,train
DNK,2011Q2,1,2011Q3,2011Q1,2011Q1,2.5723472668810254,8.055853920515577,2.5423728813559254,train
EST,2011Q2,1,2011Q3,2011Q1,2011Q1,5.242793577094207,5.404502359771124,5.404080401252043,train
FIN,2011Q2,1,2011Q3,2011Q1,2011Q1,3.358857692449968,25.101280844620845,3.5292820116907597,train
FRA,2011Q2,1,2011Q3,2011Q1,2011Q1,1.989285714285738,12.153202989738588,2.306139076835878,train
GRC,2011Q2,1,2011Q3,2011Q1,2011Q1,4.453357305857164,23.5042065109474,2.1433825988095956,train
HRV,2011Q2,1,2011Q3,2011Q1,2011Q1,2.162946833605517,1.7215719399863216,2.038834951456314,train
HUN,2011Q2,1,2011Q3,2011Q1,2011Q1,4.256365631266323,7.885109599395301,3.4444361962735037,train
IRL,2011Q2,1,2011Q3,2011Q1,2011Q1,0.8336227856895251,9.75710168793742,1.1426592797783908,train
ITA,2011Q2,1,2011Q3,2011Q1,2011Q1,2.341748993779724,5.699685534591192,2.6676279740447395,train
LTU,2011Q2,1,2011Q3,2011Q1,2011Q1,3.2018629020521105,9.830472706809235,4.546110029562356,train
LUX,2011Q2,1,2011Q3,2011Q1,2011Q1,3.788998964956391,12.0140350877193,3.5714285714285365,train
LVA,2011Q2,1,2011Q3,2011Q1,2011Q1,3.808349352580609,14.171351472903094,4.4288627338747055,train
MLT,2011Q2,1,2011Q3,2011Q1,2011Q1,2.9182806212628476,4.015575565831098,2.577961099455961,train
NLD,2011Q2,1,2011Q3,2011Q1,2011Q1,1.8982258888808,3.854405841833852,3.137923528984987,train
