exporter,importer,quarter,trade_value_eur,months_observed,monthly_periods,source_identifiers,source_release_dates,retrieved_at,is_complete_quarter,trade_log1p
AUT,BEL,2010Q1,387979811.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,19.776463865306056
AUT,BGR,2010Q1,155411695.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,18.861588256900905
AUT,CYP,2010Q1,14187056.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,16.46784062804879
AUT,CZE,2010Q1,1035558219.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,20.758206461265754
AUT,DEU,2010Q1,7999798326.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,22.80268216918349
AUT,DNK,2010Q1,140590215.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,18.7613599474373
AUT,EST,2010Q1,15487480.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,16.555542578122978
AUT,FIN,2010Q1,107106197.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,18.489331404891967
AUT,FRA,2010Q1,1100952154.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,20.81944123779358
AUT,GRC,2010Q1,136205888.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,18.72967818863042
AUT,HRV,2010Q1,250916120.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,19.34062926196285
AUT,HUN,2010Q1,864213682.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,20.57733061447724
AUT,IRL,2010Q1,42703857.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,17.56979982540548
AUT,ITA,2010Q1,1994336025.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,21.41357701284407
AUT,LTU,2010Q1,22087639.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,16.91052873401671
AUT,LUX,2010Q1,37501032.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,17.439879037227904
AUT,LVA,2010Q1,17262324.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,16.664036939066836
AUT,MLT,2010Q1,6987309.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,15.75960620466256
AUT,NLD,2010Q1,450830567.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,19.926602146171742
BEL,AUT,2010Q1,721900283.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,20.3973975765156
BEL,BGR,2010Q1,69801721.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,18.061169237915397
BEL,CYP,2010Q1,49320766.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,17.7138557876399
BEL,CZE,2010Q1,607706863.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,20.225203192088692
BEL,DEU,2010Q1,13471753680.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,23.323861010505478
BEL,DNK,2010Q1,535642773.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,20.098978030429695
BEL,EST,2010Q1,36821135.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,17.42158258609066
BEL,FIN,2010Q1,491193962.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,20.012349644412232
BEL,FRA,2010Q1,12581992681.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,23.255532476469536
BEL,GRC,2010Q1,466403906.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,19.960562569895146
BEL,HRV,2010Q1,57447537.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,17.86638270668453
BEL,HUN,2010Q1,356091475.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,19.69069821086519
BEL,IRL,2010Q1,415521180.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,19.845044148096466
BEL,ITA,2010Q1,3405747888.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,21.94873039677615
BEL,LTU,2010Q1,123561438.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,18.632249072110646
BEL,LUX,2010Q1,1254280532.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,20.94982796466399
BEL,LVA,2010Q1,31564185.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,17.267533681394955
BEL,MLT,2010Q1,27715292.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,17.137494912672636
BEL,NLD,2010Q1,8747024617.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,22.891979435830837
BGR,AUT,2010Q1,59461292.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,17.900836121009196
BGR,BEL,2010Q1,109619453.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,18.512525416726927
BGR,CYP,2010Q1,10146524.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,16.132641840299936
BGR,CZE,2010Q1,25947805.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,17.07159761679569
BGR,DEU,2010Q1,331574474.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,19.619363002991253
BGR,DNK,2010Q1,12568831.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,16.34673065659917
BGR,EST,2010Q1,1555049.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,14.257018257419368
BGR,FIN,2010Q1,5384796.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,15.49909017055473
BGR,FRA,2010Q1,132559177.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,18.702539730097755
BGR,GRC,2010Q1,255959456.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,19.360529618808062
BGR,HRV,2010Q1,12069036.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,16.306153805300863
BGR,HUN,2010Q1,37930511.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,17.45126641212394
BGR,IRL,2010Q1,2343999.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,14.66736942967904
BGR,ITA,2010Q1,307656426.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,19.544494221555027
BGR,LTU,2010Q1,5128852.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,15.45039260540307
BGR,LUX,2010Q1,4298866.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,15.273862057572538
BGR,LVA,2010Q1,3714345.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,15.127713177567957
BGR,MLT,2010Q1,1116165.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,13.925410156381588
BGR,NLD,2010Q1,64353639.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,17.979904056063198
CYP,AUT,2010Q1,2623681.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,14.780089232677744
CYP,BEL,2010Q1,2643101.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,14.787463785350267
CYP,BGR,2010Q1,1703823.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,14.348385694652016
CYP,CZE,2010Q1,2714923.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,14.814274518324854
CYP,DEU,2010Q1,24959275.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,17.03275609463455
CYP,DNK,2010Q1,1292081.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,14.071765428802967
CYP,EST,2010Q1,170863.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,12.048623197411326
CYP,FIN,2010Q1,1078831.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,13.891389532395847
CYP,FRA,2010Q1,2308877.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,14.652272250214867
CYP,GRC,2010Q1,57347887.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,17.864646574357618
CYP,HRV,2010Q1,383877.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,12.858080072756545
CYP,HUN,2010Q1,1134897.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,13.942053337017875
CYP,IRL,2010Q1,1178881.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,13.980077089693046
CYP,ITA,2010Q1,6355539.0,3,2010-01|2010-02|2010-03,eurostat_comext_total_exports_2010_2019_2026_07_16,2026-07-16,2026-07-18T13:38:03.123552+00:00,True,15.664837431458364
