source_iso3,target_iso3,edge_attr,abs_edge_attr,case_study,forecast_quarter
CHN,DEU,-0.04168395389569923,0.04237600899068639,covid_supply_chain,2020Q2
USA,DEU,-0.04088181961560622,0.04158668621676043,covid_supply_chain,2020Q2
NLD,DEU,-0.04030015927855857,0.04099560444592498,covid_supply_chain,2020Q2
FRA,DEU,-0.03983879889710806,0.040572071593487635,covid_supply_chain,2020Q2
CHE,DEU,-0.03969616402173415,0.040326796763110906,covid_supply_chain,2020Q2
ITA,DEU,-0.03930140737793408,0.040009409916820005,covid_supply_chain,2020Q2
GBR,DEU,-0.03868900326779112,0.03940559824695811,covid_supply_chain,2020Q2
RUS,DEU,-0.037296301539754495,0.037926101620541885,covid_supply_chain,2020Q2
TUR,DEU,-0.037170811323449016,0.037913654348813,covid_supply_chain,2020Q2
JPN,DEU,-0.03670971645624377,0.03741610361612402,covid_supply_chain,2020Q2
KOR,DEU,-0.036433635774301365,0.03713957799482159,covid_supply_chain,2020Q2
BRA,DEU,-0.03625589817238506,0.036712707616970874,covid_supply_chain,2020Q2
IND,DEU,-0.03547065655584447,0.036069178517209366,covid_supply_chain,2020Q2
MEX,DEU,-0.03530166720156558,0.0359119332570117,covid_supply_chain,2020Q2
VNM,DEU,-0.03539297153474763,0.035898146976251155,covid_supply_chain,2020Q2
CAN,DEU,-0.03487569352728315,0.03549619761179201,covid_supply_chain,2020Q2
AUS,DEU,-0.034450609469786286,0.03509617142844945,covid_supply_chain,2020Q2
ZAF,DEU,-0.0342939448019024,0.03492592662223615,covid_supply_chain,2020Q2
SGP,DEU,-0.03414966570562683,0.03483317469363101,covid_supply_chain,2020Q2
SAU,DEU,-0.03331102125230245,0.033850105974124745,covid_supply_chain,2020Q2
IDN,DEU,-0.03320629964582622,0.03370236058253795,covid_supply_chain,2020Q2
ARG,DEU,-0.02837320619437378,0.029541618350776844,covid_supply_chain,2020Q2
DEU,DEU,-2.295815725972261e-06,2.3378768290172047e-06,covid_supply_chain,2020Q2
CHN,DEU,0.03164688078686595,0.039092999417334795,energy_shock_2022,2022Q2
USA,DEU,0.03133708564564586,0.038490886334329844,energy_shock_2022,2022Q2
NLD,DEU,0.03094996721483767,0.038475962122902274,energy_shock_2022,2022Q2
FRA,DEU,0.03078420157544315,0.038094033719971776,energy_shock_2022,2022Q2
ITA,DEU,0.03059517592191696,0.03808377683162689,energy_shock_2022,2022Q2
CHE,DEU,0.03016927046701312,0.03742600092664361,energy_shock_2022,2022Q2
GBR,DEU,0.02996245725080371,0.0371863734908402,energy_shock_2022,2022Q2
RUS,DEU,0.029101309832185507,0.03559111850336194,energy_shock_2022,2022Q2
JPN,DEU,0.02796042966656387,0.034434763016179204,energy_shock_2022,2022Q2
IND,DEU,0.027539805741980672,0.03428832511417568,energy_shock_2022,2022Q2
